AOBJECTID,ASSET_NAME,SITE_NAME,CHILD_OF,ADDRESS,TYPE,USE_,DESCRIPTION,SQ_FEET,ACREAGE,ZIPCODE,ALLIAS,CHRONOLOGY,NOTES,DATE_EDITED,EDITED_BY,OCCUPANT,TENANT,LABEL
1,Markward Playground,Schuylkill River Park,Schuylkill River Park,400-16 S TANEY ST,Land,Recreation Site,,153685.2947,3.52814301,19103,,1966,,06-Jun-14,Nora Dougherty,PPR,,Markward 
2,Schuylkill Banks,Schuylkill Banks,Schuylkill Banks,400-16 S TANEY ST,Land,Park- Linear\Parkway,,658060.847,15.10705875,19103,,,,11-Feb-15,Nora Dougherty,PPR,,Schuylkill Banks
3,Schuylkill River Park,Schuylkill River Park,Schuylkill River Park,400-16 S TANEY ST,Land,Recreation Site,,327015.2452,7.50726706,19103,,1966,,16-Dec-13,Vanessa Miller,PPR,,Schuylkill River Park
4,Peter's Island,Peter's Island,Peter's Island,,Land,Park- Regional/Watershed,Regional\Watershed,83679.29305,1.92101992,,,,,22-Aug-14,Nora Dougherty,PPR,,Peter's Island
5,Frankford Arsenal Boat Launch,Frankford Arsenal Boat Launch,Frankford Arsenal Boat Launch,5625 Tacony Street,Land,Park- Neighborhood,,477860.2885,10.97020661,,PA Fish and Boat,2014,,22-Aug-14,Nora Dougherty,PPR,,Frankford Arsenal Boat Launch
6,Orthodox Street Parcel,Orthodox Street Parcel,Orthodox Street Parcel,3101 Orthodox Street,Land,Park- Neighborhood,,457597.0488,10.50502478,,,2014,,22-Aug-14,Nora Dougherty,,,Orthodox
7,Wissahickon Valley Park,Wissahickon Valley Park,Wissahickon Valley Park, ,Land,Park- Regional/Watershed, ,88949112.84,2043.819721,19128, ,1867, ,12-Nov-13,Vanessa Miller,PPR,,Wissahickon Valley Park
8,West Fairmount Park,West Fairmount Park,West Fairmount Park, ,Land,Park- Regional/Watershed, ,61124064.22,1403.221045,19131, ,1866, ,12-Nov-13,Vanessa Miller,PPR,,West Fairmount Park
9,Pennypack Creek Park,Pennypack Creek Park,Pennypack Creek Park, ,Land,Park- Regional/Watershed, ,58572936.14,1344.654969,19152, ,1905-1929, ,12-Nov-13,Vanessa Miller,PPR,,Pennypack Creek Park
10,Cobbs Creek Park,Cobbs Creek Park,Cobbs Creek Park, ,Land,Park- Regional/Watershed, ,37055823.23,850.68805,19143, ,1904-1928, ,12-Nov-13,Vanessa Miller,PPR,,Cobbs Creek Park
11,East Fairmount Park,East Fairmount Park,East Fairmount Park, ,Land,Park- Regional/Watershed, ,28326588.46,650.2915925,19121, ,1844, ,12-Nov-13,Vanessa Miller,PPR,,East Fairmount Park
12,Tacony Creek Park,Tacony Creek Park,Tacony Creek Park, ,Land,Park- Regional/Watershed, ,13223017.77,303.5599326,19120, ,1915, ,12-Nov-13,Vanessa Miller,PPR,,Tacony Creek Park
13,Franklin D. Roosevelt Park,Franklin D. Roosevelt Park,Franklin D. Roosevelt Park,3500 S BROAD ST,Land,Park- Metropolitan, ,8746429.903,200.791205,19145, ,1922-1924, ,12-Nov-13,Vanessa Miller,PPR,,FDR Park
14,Hunting Park,Hunting Park,Hunting Park,1101 W HUNTING PARK AVE,Land,Park- Community, ,3246603.332,74.53205507,19140, ,1854, ,12-Nov-13,Vanessa Miller,PPR,,Hunting Park
15,Awbury Park,Awbury Park,Awbury Park,6101 ARDLEIGH ST,Land,Park- Community, ,1226461.759,28.15580039,19138,,1920, ,12-Nov-13,Vanessa Miller,PPR,,Awbury
16,Fisher Park,Fisher Park,Fisher Park,6000 N 05TH ST,Land,Park- Community, ,1067144.689,24.49836909,19120, ,1909, ,12-Nov-13,Vanessa Miller,PPR,,Fisher Park
17,Eastwick Regional Park,Eastwick Regional Park,Eastwick Regional Park,80TH ST & MARS PL,Land,Park- Community, ,1017678.55,23.36277824,19153, , , ,12-Nov-13,Vanessa Miller,PPR,,Eastwick Regional Park
18,Whitby Ave Playground,Whitby Ave Playground,Cobbs Creek Park,1300 COBBS CREEK PKY,Land,Recreation Site, ,203504.6928,4.67184359,19143, , , ,12-Nov-13,Vanessa Miller,PPR,,Whitby Ave 
19,Holme Street Field,Holme Street Field,Pennypack Creek Park,2761 HOLME AVE,Land,Athletic,Multi-Use Sports Field,75854.65721,1.74139028,19152, , , ,12-Nov-13,Vanessa Miller,PPR,,Holme Street Field
20,29th & Passyunk Playground,29th & Passyunk Playground,29th & Passyunk Playground,2827 W PASSYUNK AVE,Land,Recreation Site, ,23125.66038,0.53089424,19145, , , ,12-Nov-13,Vanessa Miller,PPR,,29th & Passyunk 
21,Price Street Play Lot,Price Street Play Lot,Price Street Play Lot,177-85 W PRICE ST,Land,Youth & Tot\Play Areas, ,7358.889835,0.16893754,19144, , , ,12-Nov-13,Vanessa Miller,PPR,,Price Street Play Lot
22,Sedgley Woods Disc Golf,Sedgley Woods Disc Golf,East Fairmount Park,3400 RESERVOIR DR,Land,Athletic,Disc Golf,430994.528,9.89431249,19121, , , ,12-Nov-13,Vanessa Miller,Lessee/Tenants,PR,Sedgley Woods Disc Golf
23,61st & Baltimore Ave Playground,61st & Baltimore Ave Playground,Cobbs Creek Park,6100 BALTIMORE AVE,Land,Recreation Site, ,48928.17307,1.12324079,19143, , , ,12-Nov-13,Vanessa Miller,PPR,,61st & Baltimore Ave 
24,Cobbs Creek Environmental Education Center,Cobbs Creek Park,Cobbs Creek Park,700 COBBS CREEK PKY,Land,Environmental Education Center, ,300849.1655,6.90657413,19143, , , ,12-Nov-13,Vanessa Miller,PPR,,Cobbs Creek Park
25,Al Pearlman Sports Center,Al Pearlman Sports Center,Al Pearlman Sports Center,600 PORT ROYAL AVE,Land,Athletic,Multi-Use Sports Field,291234.0002,6.68583942,19128, , ,It is a leased property that is owned by PWD,12-Nov-13,Vanessa Miller,PPR,,Al Pearlman Sports Center
26,Lauretha Vaird Boys/Girls Club,Lauretha Vaird Boys/Girls Club,Tacony Creek Park,4800 WHITAKER AVE,Land,Other, ,256086.3295,5.8789567,19120, , , ,26-Jun-14,Nora Dougherty,Lessee/Tenants,Boys & Girls Club of Philadelphia,Boys & Girls Club of Philadelphia
27,Torresdale & Enfield Fields,Torresdale & Enfield Fields,Pennypack Creek Park,4600 ENFIELD AVE,Land,Recreation Site,Regional\Watershed,246000.6889,5.64742133,19136, , , ,12-Nov-13,Vanessa Miller,PPR,,Torresdale & Enfield Fields
28,Chamounix Tennis,Chamounix Tennis,West Fairmount Park,3601 CHAMOUNIX DR,Land,Athletic,Tennis Courts,202349.8779,4.64533258,19131, , , ,12-Nov-13,Vanessa Miller,PPR,,
29,Smith Memorial Playground,Smith Memorial Playground,East Fairmount Park,3500 RESERVOIR DR,Land,Recreation Site, ,201277.0201,4.62070306,19121, , , ,12-Nov-13,Vanessa Miller,Lessee/Tenants,"Smith Memorial Trust, Wells Fargo Trustee",Smith Memorial Playground
30,Laura Sims Rink,Laura Sims Rink,Cobbs Creek Park,200 S 63RD ST,Land,Ice Rink, ,178181.2805,4.09049571,19139, ,1904-1928, ,12-Nov-13,Vanessa Miller,PPR,,Laura Sims Rink
31,Garland & Bingham Fields,Garland & Bingham Fields,Tacony Creek Park,5153 E TABOR RD,Land,Athletic,Multi-Use Sports Field,171228.2083,3.9308745,19120, , , ,12-Nov-13,Vanessa Miller,PPR,,Garland & Bingham Fields
32,R. Ashburn Field,Franklin D. Roosevelt Park,Franklin D. Roosevelt Park,3500 S BROAD ST,Land,Athletic,Baseball Field,160275.461,3.67943301,19145, , , ,12-Nov-13,Vanessa Miller,PPR,,Ashburn Field
33,Hammond & Nedro Fields,Hammond & Nedro Fields,Tacony Creek Park,5901 HAMMOND AVE,Land,Athletic,Baseball Field,143784.7033,3.30085579,19120, , , ,12-Nov-13,Vanessa Miller,Lessee/Tenants,Olney Midget & Teen League,Hammond & Nedro
34,Bocce Court,Cobbs Creek Park,Cobbs Creek Park,6600 VINE ST,Land,Athletic,Bocce Courts,100070.0597,2.29730165,19151, , , ,12-Nov-13,Vanessa Miller,PPR,,Bocce Court
35,Fox Chase School Playground,Fox Chase School Playground,Fox Chase School Playground,700 Rhawn Street,Land,Recreation Site, ,91814.09349,2.10776999,19111, , , ,12-Nov-13,Vanessa Miller,Lessee/Tenants,FPHPT Lease,Fox Chase
36,Wissahickon Environmental Education Center,Wissahickon Environmental Education Center,Wissahickon Valley Park,300 W NORTHWESTERN AVE,Land,Environmental Education Center, ,75383.19328,1.73056691,19128,Tree House, , ,12-Nov-13,Vanessa Miller,PPR,,Wissahickon Environmental Education Center
37,Ford Road North Playground,Ford Road North Playground,West Fairmount Park,3905 FORD RD,Land,Recreation Site, ,59510.13062,1.36617008,19131, , , ,12-Nov-13,Vanessa Miller,PPR,,Ford Road Playground
38,82nd & Lyons Park,82nd & Lyons Park,82nd & Lyons Park,8200 LYONS AVE,Land,Park- Mini, ,39709.9401,0.91161843,19153,Pepper School Playground, , ,12-Nov-13,Vanessa Miller,PPR,,82nd & Lyons Park
39,Verree & Susquehanna Playground,Verree & Susquehanna Playground,Pennypack Creek Park,8543 VERREE RD,Land,Recreation Site, ,36456.2601,0.83692392,19111, , , ,12-Nov-13,Vanessa Miller,PPR,,Verree & Susquehanna 
40,11th & Venango Play Lot,11th & Venango Play Lot,11th & Venango Play Lot,3600 N 11TH ST,Land,Youth & Tot\Play Areas, ,35556.59514,0.81627037,19140, , , ,12-Nov-13,Vanessa Miller,PPR,,11th & Venango Play Lot
41,Collazo Playground,Collazo Playground,Collazo Playground,130-60 W WESTMORELAND ST,Land,Recreation Site, ,88311.74474,2.0273668,19140, , , ,26-Jun-14,Nora Dougherty,PPR,,Collazo 
42,Frankford & Solly Playground,Frankford & Solly Playground,Pennypack Creek Park,8300 FRANKFORD AVE,Land,Recreation Site, ,30553.75931,0.7014206,19136, , , ,12-Nov-13,Vanessa Miller,PPR,,Frankford & Solly 
43,Belmont School Playground,Belmont School Playground,Belmont School Playground,4030-60 BROWN ST,Land,Recreation Site, ,29359.05184,0.67399379,19104, , ,Owned by the Charter School,12-Nov-13,Vanessa Miller,PPR,,Belmont School 
44,26th & Pennsylvania Playground,26th & Pennsylvania Playground,East Fairmount Park,2700 PENNSYLVANIA AVE,Land,Recreation Site, ,18829.43909,0.43226617,19130, , , ,12-Nov-13,Vanessa Miller,PPR,,26th & Pennsylvania 
45,60th & Baltimore Park,60th & Baltimore Park,60th & Baltimore Park,5961 BALTIMORE AVE,Land,Park- Mini, ,11875.55134,0.27262624,19143, , , ,12-Nov-13,Vanessa Miller,PPR,,60th & Baltimore Park
46,Dauphin Street Play Lot,Dauphin Street Play Lot,Dauphin Street Play Lot,2324-30 N 05TH ST,Land,Youth & Tot\Play Areas, ,9092.671743,0.20873986,19133, , , ,12-Nov-13,Vanessa Miller,PPR,,Dauphin Street
47,10th & Lemon Playground,10th & Lemon Playground,10th & Lemon Playground,1015-21 MOUNT VERNON ST,Land,Recreation Site, ,8155.915991,0.18723482,19123, , , ,12-Nov-13,Vanessa Miller,PPR,,10th & Lemon 
48,47th & Grays Ferry Park,47th & Grays Ferry Park,47th & Grays Ferry Park,4700 PASCHALL AVE,Land,Park- Mini, ,7388.581297,0.16961917,19143, , , ,12-Nov-13,Vanessa Miller,PPR,,47th & Graysferry Park
49,Hartranft Pool,Hartranft Pool,Hartranft Pool,800 W CUMBERLAND ST,Land,Pool, ,5639.746428,0.12947128,19133, , , ,12-Nov-13,Vanessa Miller,PPR,,Hartranft Pool
50,Butler & Percy Play Lot,Butler & Percy Play Lot,Butler & Percy Play Lot,913-921 BUTLER ST,Land,Youth & Tot\Play Areas, ,4760.317039,0.10928228,19140, , , ,12-Nov-13,Vanessa Miller,PPR,,Butler & Percy Play Lot
51,Horton Street Play Lot,Horton Street Play Lot,Horton Street Play Lot,225-35 N HORTON ST,Land,Youth & Tot\Play Areas, ,4324.80361,0.09928423,19139, , , ,12-Nov-13,Vanessa Miller,PPR,,Horton Street Play Lot
52,45th & Sansom Tot Lot,45th & Sansom Tot Lot,45th & Sansom Tot Lot,122-24 S 45TH ST,Land,Youth & Tot\Play Areas, ,3563.14206,0.08179881,19139, , ,Operated or Owned by University City District,12-Nov-13,Vanessa Miller,PPR,,45th & Sansom Tot Lot
53,Community Park,Community Park,Community Park,854-56 N LAWRENCE ST,Land,Park- Mini, ,3560.441232,0.08173681,19123, , , ,12-Nov-13,Vanessa Miller,PPR,,Community Park
54,71st & Dicks Triangle,71st & Dicks Triangle,71st & Dicks Triangle,2700 S 71ST ST,Land,Park- Mini, ,2965.242757,0.06807288,19153, , , ,12-Nov-13,Vanessa Miller,PPR,,71st & Dicks Triangle
55,Webb Street Play Lot,Webb Street Play Lot,Webb Street Play Lot,2536-38 WEBB ST,Land,Youth & Tot\Play Areas, ,2954.573828,0.06782795,19125, , , ,12-Nov-13,Vanessa Miller,PPR,,Webb Street Play Lot
56,Awbury Park & Recreation Center,Awbury Park & Recreation Center,Awbury Park & Recreation Center,6101 ARDLEIGH ST,Land,Recreation Center, ,442656.9538,10.16204602,19138, , , ,12-Nov-13,Vanessa Miller,PPR,,Awbury
57,Hunting Park Recreation Center,Hunting Park,Hunting Park,1101 W HUNTING PARK AVE,Land,Recreation Center, ,233747.6847,5.36612993,19140, ,1854, ,12-Nov-13,Vanessa Miller,PPR,,Hunting Park
58,Martin Luther King Older Adult Center,Martin Luther King Recreation Center,Martin Luther King Recreation Center,2101 W CECIL B MOORE AVE,Land,Older Adult Center, ,15555.43597,0.3571051,19121, , , ,12-Nov-13,Vanessa Miller,PPR,,King Older Adult Center
59,Pennypack on the Delaware Fields,Pennypack on the Delaware Fields,Pennypack on the Delaware,8201 State Road,Land,Athletic,Multi-Use Sports Field,1230497.876,28.24845726,19136, , , ,12-Nov-13,Vanessa Miller,PPR,,
60,Belmont Plateau,Belmont Plateau,West Fairmount Park,1800 BELMONT MANSION DR,Land,Multi-Use Area,Regional\Watershed,2147069.35,49.29012714,19131, ,1866, ,12-Nov-13,Vanessa Miller,PPR,,Belmont Plateau
61,Memorial Area,Memorial Area,West Fairmount Park,4200 S CONCOURSE DR,Land,Museum,Historic Building,2024356.943,46.47302665,19131, ,1866, ,12-Nov-13,Vanessa Miller,Lessee/Tenants,Please Touch Museum,
62,Edgely Fields,Edgely Fields,East Fairmount Park,2100 RESERVOIR DR,Land,Athletic,Multi-Use Sports Field,1274569.472,29.26020592,19121, ,1844, ,12-Nov-13,Vanessa Miller,PPR,,Edgely Fields
63,Dairy Fields,Dairy Fields,East Fairmount Park,3700 MOUNT PLEASANT DR,Land,Athletic,Multi-Use Sports Field,660098.8855,15.15384586,19121, ,1844, ,12-Nov-13,Vanessa Miller,PPR,,Dairy Fields
64,Pachella Fields,Pachella Fields,Wissahickon Valley Park,6899 HENRY AVE,Land,Athletic,Multi-Use Sports Field,495347.3056,11.37165489,19128, ,1867, ,12-Nov-13,Vanessa Miller,PPR,,Pachella Fields
65,Belmont & Edgely Cricket Fields,Belmont & Edgely Cricket Fields,West Fairmount Park,4105 EDGELY AVE,Land,Athletic,Multi-Use Sports Field,420290.9547,9.64859127,19131, ,1866, ,12-Nov-13,Vanessa Miller,PPR,,Belmont & Edgely Cricket Fields
66,Daisy Fields,Daisy Fields,Wissahickon Valley Park,5000 HERMIT LN,Land,Athletic,Baseball Field,410896.1196,9.43291467,19128, ,1867, ,12-Nov-13,Vanessa Miller,PPR,,Daisy Fields
67,Robin Hood Dell East,Robin Hood Dell East,East Fairmount Park,2499 STRAWBERRY MANSION BRIDGE DR,Land,Multi-Use Area,Performance Venue,378510.81,8.68944729,19132, ,1844, ,12-Nov-13,Vanessa Miller,PPR,,Robin Hood Dell East
68,Sweet Briar Area,Sweet Briar Area,West Fairmount Park,3700 SWEET BRIAR LN,Land,Athletic,Baseball Field,376460.2601,8.64237296,19131, ,1866, ,12-Nov-13,Vanessa Miller,PPR,,
69,Ohio House Fields,Ohio House,West Fairmount Park,4700 STATES DR,Land,Athletic,Baseball Field,255828.9693,5.8730485,19131, ,1866, ,12-Nov-13,Vanessa Miller,PPR,,
70,Chamounix North Softball Field,Chamounix,West Fairmount Park,3299 CHAMOUNIX DR,Land,Athletic,Baseball Field,216169.8927,4.96259773,19131, ,1866, ,12-Nov-13,Vanessa Miller,PPR,,
71,Chamounix South Fields,Chamounix,West Fairmount Park,3701 CHAMOUNIX DR,Land,Athletic,Multi-Use Sports Field,202203.7021,4.64197683,19131, ,1866, ,12-Nov-13,Vanessa Miller,PPR,,
72,Boyce Field,Wissahickon Valley Park,Wissahickon Valley Park,5901 HENRY AVE,Land,Athletic,Baseball Field,141971.163,3.25922247,19128, ,1867, ,12-Nov-13,Vanessa Miller,PPR,,Boyce Field
73,Arrow Field,Arrow Field,Wissahickon Valley Park,640 W WALNUT LN,Land,Athletic,Multi-Use Sports Field,93006.41512,2.13514204,19128, ,1867, ,12-Nov-13,Vanessa Miller,PPR,,Arrow Field
74,Pennypack Environmental Education Center,Pennypack Environmental Education Center,Pennypack Creek Park,8600 VERREE RD,Land,Environmental Education Center, ,73791.51653,1.6940269,19115, , , ,12-Nov-13,Vanessa Miller,Lessee/Tenants,FP Staff,Pennypack Environmental Center
75,Cobbs Creek & Karakung Golf Course,Cobbs Creek & Karakung Golf Course,Cobbs Creek Park,7900 LANSDOWNE AVE,Land,Golf,Golf Course,13262997.29,304.4777397,19151, ,1904-1928, ,12-Nov-13,Vanessa Miller,Lessee/Tenants,"Billy Casper Golf, LLC",Cobbs Creek Park
76,Pennypack on the Delaware,Pennypack on the Delaware,Pennypack on the Delaware,8201 STATE RD,Land,Park- Metropolitan, ,9408964.155,216.0009594,19136, ,1977, ,12-Nov-13,Vanessa Miller,PPR,,Pennypack on the Delaware
77,Franklin D. Rooselvelt Golf Course,Franklin D. Rooselvelt Golf Course,Franklin D. Rooselvelt Golf Course,1954 PATTISON AVE,Land,Golf,Golf Course,6295004.894,144.5140054,19145, ,1922-1924, ,12-Nov-13,Vanessa Miller,Lessee/Tenants,"Billy Casper Golf, LLC",FDR Golf Course
78,Fox Chase Farm,Fox Chase Farm,Fox Chase Farm,8800 PINE RD,Land,Farm, ,5154031.493,118.3207555,19111,Butler Exhibit Farm,1975-1979, ,12-Nov-13,Vanessa Miller,Lessee/Tenants,FPHPT Lease,Fox Chase
79,Morris Park,Morris Park,Cobbs Creek Park,6600 SHERWOOD RD,Land,Park- Regional/Watershed, ,5024849.841,115.355141,19151, ,1911-1929, ,12-Nov-13,Vanessa Miller,PPR,,Morris Park
80,Juniata Golf Course,Juniata Golf Course,Tacony Creek Park,1391 E CAYUGA ST,Land,Golf,Golf Course,4969228.959,114.0782561,19124, ,1915, ,12-Nov-13,Vanessa Miller,Lessee/Tenants,Juniata Golf Foundation,Juniata Golf Course
81,Walnut Lane Golf Course,Walnut Lane Golf Course,Wissahickon Valley Park,700 WALNUT LA,Land,Golf,Golf Course,3912073.127,89.80920053,19128, ,1870, ,12-Nov-13,Vanessa Miller,Lessee/Tenants,Impact Services Corp,Walnut Lane Golf Course
82,Walton Run,Walton Run,Walton Run,11000 ACADEMY RD,Land,Park- Watershed\Conservation, ,3921032.231,90.01487409,19154, ,1970, ,12-Nov-13,Vanessa Miller,PPR,,Walton Run
83,John Byrne Golf Course,John Byrne Golf Course,John Byrne Golf Course,9550 LEON ST,Land,Golf,Golf Course,3700902.668,84.96137446,19114, ,1972, ,12-Nov-13,Vanessa Miller,Lessee/Tenants,"Billy Casper Golf, LLC",John Byrne Golf Course
84,Fluehr Park,Fluehr Park,Fluehr Park,4800 GRANT AVE,Land,Park- Community, ,2679002.952,61.50169119,19114, ,1976, ,12-Nov-13,Vanessa Miller,PPR,,Fluehr Park
85,Philadelphia Zoological Gardens,Philadelphia Zoological Gardens,West Fairmount Park,3400 W GIRARD AVE,Land,Zoo Habitat, ,2435280.687,55.90657549,19104, ,1866, ,12-Nov-13,Vanessa Miller,Lessee/Tenants,Zoological Society of Philadelphia,Philadelphia Zoo
86,Manatawna Farm,Manatawna Farm,Manatawna Farm,130 SPRING LA,Land,Farm, ,2364686.524,54.28595002,19128, ,1983, ,12-Nov-13,Vanessa Miller,Lessee/Tenants,School District of Philadelphia,Manatawna Farm
87,Burholme Park,Burholme Park,Burholme Park,7370 CENTRAL AVE,Land,Park- Community, ,2293929.29,52.66158093,19111, ,1915, ,12-Nov-13,Vanessa Miller,PPR,,Burholme Park
88,Wister's Woods Park,Wister's Woods Park,Wister's Woods Park,432-60 E WISTER ST,Land,Park- Neighborhood, ,2246284.451,51.56780156,19141, ,1911, ,12-Nov-13,Vanessa Miller,PPR,,Wister's Woods Park
89,Horticulture Center,Horticulture Center,West Fairmount Park,4200 HORTICULTURAL DR,Land,Gardens, ,2243978.762,51.51487001,19131, ,1866, ,12-Nov-13,Vanessa Miller,PPR,,Horticulture Center
90,Wooden Bridge Run,Wooden Bridge Run,Wooden Bridge Run,2855 WILLITS RD,Land,Park- Regional/Watershed, ,2237099.422,49.09586334,19114, ,1950, ,12-Nov-13,Vanessa Miller,PPR,,Wooden Bridge Run
91,Bartram's Garden,Bartram's Garden,Bartram's Garden,5400 LINDBERGH BLV,Land,Park- Community, ,1996002.287,45.82209071,19143, ,1891, ,12-Nov-13,Vanessa Miller,Lessee/Tenants,The John Bartram Assn.,Bartram's Gardens
92,Wissinoming Playground,Wissinoming Playground,Wissinoming Playground,5801 FRANKFORD AVE,Land,Recreation Site, ,1847887.927,42.42183927,19135, , , ,12-Nov-13,Vanessa Miller,PPR,,Wissinoming 
93,Fernhill Park,Fernhill Park,Fernhill Park,4600 MORRIS ST,Land,Park- Community, ,1708103.668,39.21282142,19144, ,1915-1917, ,12-Nov-13,Vanessa Miller,PPR,,Fernhill Park
94,Roxborough Reservoir,Roxborough Reservoir,Roxborough Reservoir,601 PORT ROYAL AVE,Land,Reservoir, ,1624136.229,37.28518654,19128, ,2010,A friends group helps manage,12-Nov-13,Vanessa Miller,PPR,,Roxborough Reservoir
95,Manayunk Canal,Manayunk Canal,Manayunk Canal,4500 MAIN ST,Land,Park- Linear\Parkway, ,1469669.609,33.76585277,19127, ,1979, ,12-Nov-13,Vanessa Miller,PPR,,Manayunk Canal
96,Carroll Park Cobbs Creek,Carroll Park Cobbs Creek,Cobbs Creek Park,7800 CITY AVE,Land,Park- Regional/Watershed, ,1366581.411,31.37251785,19151, , , ,12-Nov-13,Vanessa Miller,PPR,,Cobbs Creek Park
97,Fish Hatchery,Fish Hatchery,Fish Hatchery,9201 N DELAWARE AVE,Land,Park- Community, ,1363331.047,31.29789945,19136,Pleasant Hill Park, , ,12-Nov-13,Vanessa Miller,Lessee/Tenants,Water Department,Fish Hatchery
98,Holme Crispin Park,Holme Crispin Park,Holme Crispin Park,3065 HOLME AVE,Land,Park- Regional/Watershed, ,1211825.859,27.81980501,19136, ,1925, ,12-Nov-13,Vanessa Miller,PPR,,Holme Crispin Park
99,Philadelphia Museum of Art,Philadelphia Museum of Art,East Fairmount Park,2600 BENJ FRANKLIN PKY,Land,Museum, ,1086262.68,24.93725952,19130, ,1917-1928, ,12-Nov-13,Vanessa Miller,Lessee/Tenants,Philadelphia Museum of Art,Philadelphia Museum of Art
100,Disston Park,Disston Park,Disston Park,6501-6951 KEYSTONE ST,Land,Park- Neighborhood, ,1023657.951,23.50004695,19135, , , ,12-Nov-13,Vanessa Miller,PPR,,Disston Park
101,Poquessing Creek Park 1,Poquessing Creek Park,Poquessing Creek Park,1217 STEVENS RD,Land,Park- Watershed\Conservation, ,1027659.379,23.59190747,19116, ,1960-1970, ,12-Nov-13,Vanessa Miller,PPR,,Poquessing Creek Park
102,Junod Playground,Junod Playground,Junod Playground,3102 MECHANICSVILLE RD,Land,Recreation Site, ,1024352.248,23.5159859,19154, , , ,08-Aug-14,Nora Dougherty,PPR,,Junod 
103,Palmer Playground,Palmer Playground,Palmer Playground,11701 THORNTON RD,Land,Recreation Site, ,3230333.448,74.15854842,19154, , , ,12-Nov-13,Vanessa Miller,Lessee/Tenants,Far NE Athletic Assn,Palmer 
104,29th & Chalmers Park,29th & Chalmers Park,29th & Chalmers Park,3001 W LEHIGH AVE,Land,Park- Community, ,999199.0045,22.93854457,19132, , , ,12-Nov-13,Vanessa Miller,PPR,,29th & Chalmers Park
105,Mander Playground,Mander Playground,East Fairmount Park,2102 N 33RD ST,Land,Recreation Site, ,971224.4921,22.29633556,19132, ,1844, ,12-Nov-13,Vanessa Miller,PPR,,Mander Pool
106,Gorgas Park,Gorgas Park,Gorgas Park,6300 RIDGE AVE,Land,Park- Community, ,917980.8515,21.07402487,19128, , ,Fields managed by School District,12-Nov-13,Vanessa Miller,PPR,,Gorgas Park
107,Marconi Plaza,Marconi Plaza,Marconi Plaza,2700 S BROAD ST,Land,Park- Square\Plaza, ,820584.2434,18.83809747,19148, ,1923, ,12-Nov-13,Vanessa Miller,PPR,,Marconi Plaza
108,Fort Mifflin,Fort Mifflin,Fort Mifflin,4800 FORT MIFFLIN RD,Land,Historic House, ,1876546.142,43.079744,19153, , , ,26-Jun-14,Nora Dougherty,Lessee/Tenants,Not Listed,Fort Mifflin
109,James Finnegan Playground,James Finnegan Playground,James Finnegan Playground,6801 GROVERS AVE,Land,Recreation Site, ,767275.5156,17.61429258,19142,Paschall Playground, , ,12-Nov-13,Vanessa Miller,PPR,,Finnegan 
110,Lawncrest Recreation Center,Lawncrest Recreation Center,Lawncrest Recreation Center,6000 RISING SUN AVE,Land,Recreation Center, ,756942.5415,17.37707919,19111, , , ,12-Nov-13,Vanessa Miller,Lessee/Tenants,Lawncrest Athletic Assn,Lawncrest
111,Pastorius Park,Pastorius Park,Pastorius Park,200 W HARTWELL LN,Land,Park- Community, ,698795.8171,16.04220873,19118, ,1915, ,12-Nov-13,Vanessa Miller,PPR,,Pastorius Park
112,Vogt Recreation Center,Vogt Recreation Center,Vogt Recreation Center,4131 UNRUH AVE,Land,Recreation Center, ,694645.6394,15.94693338,19135, , , ,12-Nov-13,Vanessa Miller,PPR,,Vogt
113,American Legion,American Legion,American Legion,6201 TORRESDALE AVE,Land,Recreation Site, ,686705.3667,15.76464907,19135, , , ,12-Nov-13,Vanessa Miller,PPR,,American Legion
114,Jacobs Playground,Jacobs Playground,Jacobs Playground,9050 TORRESDALE AVE,Land,Recreation Site, ,644970.6927,14.80654896,19136, , , ,12-Nov-13,Vanessa Miller,Lessee/Tenants,Torresdale Boys Club,Jacobs 
115,Fox Chase Playground,Fox Chase Playground,Fox Chase Playground,601 BORBECK AVE,Land,Recreation Center, ,637436.3578,14.63358374,19111, , , ,12-Nov-13,Vanessa Miller,Lessee/Tenants,FPHPT Lease,Fox Chase
116,Torresdale Playground,Torresdale Playground,Torresdale Playground,9550 FRANKFORD AVE,Land,Recreation Site, ,613933.2397,14.09402423,19114, , , ,12-Nov-13,Vanessa Miller,PPR,,Torresdale 
117,Burholme Driving Range,Burholme Driving Range,Burholme Driving Range,401 W COTTMAN AVE,Land,Golf,Golf Driving Range,596805.3635,13.70082072,19111, ,1915, ,12-Nov-13,Vanessa Miller,Lessee/Tenants,"Burholme Golf, Inc.",Burholme Park
118,Benjamin Franklin Parkway medians,Benjamin Franklin Parkway,Benjamin Franklin Parkway,BENJ FRANKLIN PKY,Land,Park- Linear\Parkway, ,604274.9943,13.87230054,19130, ,1917-1928, ,12-Apr-15,Nora Dougherty,PPR,,Benjamin Franklin Parkway
119,Simons Youth Center & Teen Center,Simons Youth Center & Teen Center,Simons Youth Center & Teen Center,1601-35 E WALNUT LA,Land,Recreation Center, ,571019.3894,13.10885385,19138, , , ,12-Nov-13,Vanessa Miller,PPR,,Simons
