AOBJECTID,ASSET_NAME,SITE_NAME,CHILD_OF,ADDRESS,TYPE,USE_,DESCRIPTION,SQ_FEET,ACREAGE,ZIPCODE,ALLIAS,CHRONOLOGY,NOTES,DATE_EDITED,EDITED_BY,OCCUPANT,TENANT,LABEL
756,Daniel Street House,Wissahickon Valley Park,Wissahickon Valley Park,6028 DANIEL ST,Building,Historic House,Historic Building,1420.474374,0.03260973,19144, , ,,12-Nov-13,Vanessa Miller,PPR,,
757,Howell Park Stone Stable Building,Howell Park,Howell Park,5215 GREENE ST,Building,Stables,,959.0945952,0.02201787,19144, , ,,19-Dec-12,Vanessa Miller,PPR,,Howell Park
758,Disston Recreation Center Building 2,Disston Recreation Center,Disston Recreation Center,4423 LONGSHORE AVE,Building,Recreation Bldg,Historic Building,3420.22772,0.07851794,19135, , ,,12-Nov-13,Vanessa Miller,PPR,,Disston Park 
759,Disston Recreation Center Building 1,Disston Recreation Center,Disston Recreation Center,4423 LONGSHORE AVE,Building,Recreation Bldg,Historic Building,4156.114948,0.09541165,19135, , ,,12-Nov-13,Vanessa Miller,PPR,,Disston Park
760,Lower Mayfair Playground Building,Lower Mayfair Playground,Lower Mayfair Playground,3001 ROBBINS ST,Building,Recreation Bldg,,5537.888815,0.12713294,19149, , ,,12-Nov-13,Vanessa Miller,PPR,,Lower Mayfair  
761,Pennypack on the Delaware- Concession/Restroom,Pennypack on the Delaware Fields,Pennypack on the Delaware ,8201 STATE ROAD,Building,Restrooms,,1599.996073,0.036731,19136, , ,,12-Nov-13,Vanessa Miller,PPR,,
762,Wakefield Tenant House,Wakefield Park,Wakefield Park,5100 N 16TH ST,Building,Historic House,Historic Building,583.450735,0.01339424,19141, , ,,12-Nov-13,Vanessa Miller,PPR,,
763,Houseman Recreation Center Building,Houseman Playground,Houseman Playground,5091 SUMMERDALE AVE,Building,Recreation Bldg,,9971.60032,0.22891736,19124, , ,,12-Nov-13,Vanessa Miller,PPR,,Houseman  
764,Barrett Playground Building,Barrett Playground,Barrett Playground,641 LINDLEY AVE,Building,Recreation Bldg,,4126.917757,0.09474137,19120, , ,,12-Nov-13,Vanessa Miller,PPR,,Barrett  
765,Wister Playground Building,Wister Playground,Wister Playground,4971 BAYNTON ST,Building,Recreation Bldg,,2421.468956,0.0555895,19144, , ,,12-Nov-13,Vanessa Miller,PPR,,Wister  
766,Hillside Recreation Center,Hillside Recration Center,Hillside Recration Center,201 FOUNTAIN ST,Building,Recreation Bldg,,8389.455917,0.19259618,19127, , ,,12-Nov-13,Vanessa Miller,PPR,,Hillside 
767,Russo Park Playground Building,Russo Park Playground,Russo Park Playground,7301 TORRESDALE AVE,Building,Recreation Bldg,,3692.594324,0.08477064,19136, , ,,12-Nov-13,Vanessa Miller,Lessee/Tenants,Mayfair Athletic Club,
768,Jacob Kelter House,Clifford Park,Clifford Park,6249 WISSAHICKON AVE,Building,Historic House,Historic Building,1399.424849,0.0321265,19144, , ,,12-Nov-13,Vanessa Miller,Lessee/Tenants,Streets Department,Jacob Kelter House
769,Thomas Mansion Garage,Wissahickon Valley Park,Wissahickon Valley Park,6245 WISSAHICKON AVE,Building,Garage\Maintenance\Storage Bldg,Historic Building,675.5253491,0.01550799,19144, , ,,12-Nov-13,Vanessa Miller,PPR,,
770,Thomas Mansion,Wissahickon Valley Park,Wissahickon Valley Park,6245 WISSAHICKON AVE,Building,Historic House,Historic Building,4500.412004,0.10331566,19144, , ,,19-Dec-12,Vanessa Miller,Lessee/Tenants,"FPHPT Lease, Ranger",Thomas Mansion
771,Gorgas Park Building 1,Gorgas Park,Gorgas Park,6300 RIDGE AVE,Building,Multi-Use Bldg,Historic Building,2386.54345,0.05478772,19128, , ,,12-Nov-13,Vanessa Miller,PPR,,Gorgas Park 
772,Pennypack on the Delaware- Maintenance Building,Pennypack on the Delaware,Pennypack on the Delaware, ,Building,Garage\Maintenance\Storage Bldg,,2698.919876,0.06195892,19136, , ,,12-Nov-13,Vanessa Miller,PPR,,
